학년도,모집시기,모집전형,모집단위,모집인원,경쟁률,학생부등급(70%),학생부등급(90%),예비순위
2024,수시,가천의약학,한의예과,10,32.3,3.47,3.88,-
2024,수시,가천의약학,약학과,12,68.67,2.65,3.56,3
2024,수시,가천의약학,의예과,20,49.5,1.9,3.05,8
2024,수시,가천바람개비,(2025:경영학과)경영학부,50,25.48,3.88,4.23,30
2024,수시,가천바람개비,(2025:금융·빅데이터학부)금융수학전공,6,14.83,3.86,3.95,8
2024,수시,가천바람개비,(2025:금융·빅데이터학부)빅데이터경영전공,7,16.57,4.43,5.24,3
2024,수시,가천바람개비,관광경영학과,8,60.13,4.29,4.62,14
2024,수시,가천바람개비,의료산업경영학과,6,23,3.76,3.92,3
2024,수시,가천바람개비,미디어커뮤니케이션학과,11,64.64,3.69,3.8,10
2024,수시,가천바람개비,경제학과,8,27.13,4.03,4.22,9
2024,수시,가천바람개비,응용통계학과,7,13.29,3.71,4.12,9
2024,수시,가천바람개비,사회복지학과,9,33.56,4.2,4.3,7
2024,수시,가천바람개비,유아교육학과,10,35.9,3.65,3.72,9
2024,수시,가천바람개비,심리학과,8,69,3.46,3.75,5
2024,수시,가천바람개비,패션산업학과,6,55.83,4.24,4.26,1
2024,수시,가천바람개비,(2025:AI인문대학)한국어문학과,8,29.13,3.96,4.32,5
2024,수시,가천바람개비,(2025:AI인문대학)외국어계열,30,25.5,4.21,4.76,23
2024,수시,가천바람개비,(2025:법과대학)법학과,11,28,3.83,4.19,6
2024,수시,가천바람개비,(2025:법과대학)행정학과,7,20.71,3.5,3.76,10
2024,수시,가천바람개비,(2025:법과대학)경찰행정학과,9,28.67,3.23,3.74,1
2024,수시,가천바람개비,도시계획·조경학부,7,21.29,3.87,4.26,7
2024,수시,가천바람개비,건축학부,11,37,3.83,3.86,9
2024,수시,가천바람개비,화공생명배터리공학부,28,22.25,3.5,3.8,13
2024,수시,가천바람개비,(2025:기계공학부)설비·소방공학과,7,21.43,4.12,4.42,1
2024,수시,가천바람개비,(2025:기계공학부)기계공학전공,16,26.44,4.16,4.76,6
2024,수시,가천바람개비,(2025:기계공학부)산업공학전공,6,17.5,3.87,3.97,5
2024,수시,가천바람개비,스마트팩토리전공,6,20.83,4.06,4.15,4
2024,수시,가천바람개비,신소재공학과,6,15.5,3.25,3.49,2
2024,수시,가천바람개비,토목환경공학과,6,23.17,3.95,3.97,7
2024,수시,가천바람개비,전기공학과,10,16,4.24,4.31,8
2024,수시,가천바람개비,스마트시티학과,6,28.67,3.93,3.97,5
2024,수시,가천바람개비,의공학과,6,15.5,3.33,3.43,3
2024,수시,가천바람개비,식품생명공학과,6,38.67,3.8,3.93,5
2024,수시,가천바람개비,식품영양학과,6,32,3.89,4.01,4
2024,수시,가천바람개비,바이오나노학과,6,32,3.42,3.73,0
2024,수시,가천바람개비,생명과학과,6,58.67,3.74,3.79,3
2024,수시,가천바람개비,(2025:반도체물리학과)물리학과,7,14.14,4.18,4.23,5
2024,수시,가천바람개비,화학과,7,29,3.86,4.21,3
2024,수시,가천바람개비,"(2025:반도체대학,시스템반도체학과)반도체·전자공학부",31,14.23,3.69,4.06,19
2024,수시,가천바람개비,클라우드공학과,7,21.71,2.64,2.95,5
2024,수시,가천바람개비,(2025:컴퓨터공학과)컴퓨터공학전공,22,23.45,3.57,3.9,17
2024,수시,가천바람개비,(2025:스마트보안학과)스마트보안전공,6,43.17,3.91,4.13,4
2024,수시,가천바람개비,운동재활학과,6,80.5,4,4.15,4
2024,수시,가천바람개비,바이오로직스학과,15,18.67,2.75,3.27,15
2024,수시,가천바람개비,간호학과,45,26.53,2.82,2.99,20
2024,수시,가천바람개비,치위생학과,6,19.33,3.5,3.5,1
2024,수시,가천바람개비,방사선학과,6,38.67,3.78,3.94,2
2024,수시,가천바람개비,물리치료학과,6,57.17,2.9,2.96,1
2024,수시,가천바람개비,응급구조학과,4,66.75,5.1,6.07,0
2024,수시,실기우수자,회화.조소(회화),15,11.27,5.82,6.47,0
2024,수시,실기우수자,회화.조소(조소전공),12,14.5,5.63,6.38,1
2024,수시,실기우수자,디자인(시각-기초소양평가),7,18.57,4.5,4.88,3
2024,수시,실기우수자,디자인(시각-기초디자인),8,65.13,5.38,5.42,3
2024,수시,실기우수자,디자인(산업-기초소양평가),7,23.43,3.87,4.94,0
2024,수시,실기우수자,디자인(산업-기초디자인),8,63.75,4.93,5.15,4
2024,수시,실기우수자,성악전공(남자),6,7.83,6.23,6.91,6
2024,수시,실기우수자,성악전공(여자),6,13.5,5.25,5.88,3
2024,수시,실기우수자,기악전공(관현악/타악기전체),22,11,5.36,6.23,-
2024,수시,실기우수자,기악전공(Violin),7,6.857142857,-,-,12
2024,수시,실기우수자,기악전공(Viola),2,4,-,-,6
2024,수시,실기우수자,기악전공(V.Cello),3,4.666666667,-,-,4
2024,수시,실기우수자,기악전공(C.Bass),1,3,-,-,-
2024,수시,실기우수자,기악전공(ClassicGuitar),1,6,-,-,0
2024,수시,실기우수자,기악전공(Flute),1,50,-,-,0
2024,수시,실기우수자,기악전공(Oboe),1,8,-,-,1
2024,수시,실기우수자,기악전공(Clarinet),1,26,-,-,0
2024,수시,실기우수자,기악전공(Bassoon),1,3,-,-,1
2024,수시,실기우수자,기악전공(Horn),1,19,-,-,0
2024,수시,실기우수자,기악전공(Trumpet),1,28,-,-,0
2024,수시,실기우수자,기악전공(TenorTrombone),1,19,-,-,1
2024,수시,실기우수자,기악전공(타악기),1,9,-,-,0
2024,수시,실기우수자,기악전공(피아노),9,23.56,5.71,5.95,15
2024,수시,실기우수자,음악학부(작곡),7,6.57,5.77,5.88,21
2024,수시,실기우수자,체육학부(체육),30,66.7,5.5,5.9,7
2024,수시,실기우수자,체육학부(태권도-겨루기),6,16.5,5.85,7.15,1
2024,수시,실기우수자,체육학부(태권도-품새),14,22.9,6,6.64,21
2024,수시,실기우수자,연기예술학과(연기),24,71.5,6,7.13,5
2024,수시,기회균형,(2025:경영학과)경영학부,4,23.75,,4.93,0
2024,수시,기회균형,(2025:금융·빅데이터학부)금융수학전공,2,5.5,,5.12,0
2024,수시,기회균형,관광경영학과,2,12,,4.48,0
2024,수시,기회균형,의료산업경영학과,2,10,,4.95,1
2024,수시,기회균형,미디어커뮤니케이션학과,2,26.5,,6.43,2
2024,수시,기회균형,경제학과,2,10,,4.63,1
2024,수시,기회균형,응용통계학과,2,8,,4.79,1
2024,수시,기회균형,사회복지학과,3,15,,5.5,1
2024,수시,기회균형,유아교육학과,2,12.5,,4.73,1
2024,수시,기회균형,심리학과,2,15.5,,3.53,0
2024,수시,기회균형,패션산업학과,2,16.5,,5.17,2
